epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,201.373,0.46935,0.39273,0.87332,0.90922,1,0.95,0.81059,0.59653,0.51549,0.94062,0.0008912,0.0008912,0.0008912
58,204.265,0.51129,0.41698,0.91348,0.91141,1,0.95,0.78,0.64902,0.52318,0.94402,0.0008714,0.0008714,0.0008714
59,207.994,0.47589,0.41255,0.90311,0.91189,1,0.92,0.74345,0.6188,0.51404,0.92826,0.0008516,0.0008516,0.0008516
60,211.941,0.46276,0.38468,0.88371,0.91623,1,0.9425,0.79337,0.6422,0.54199,0.91384,0.0008318,0.0008318,0.0008318
61,214.73,0.44121,0.35831,0.8853,0.91593,0.9912,0.965,0.80498,0.62561,0.52646,0.90276,0.000812,0.000812,0.000812
62,217.645,0.45847,0.37181,0.86999,0.84552,0.9955,0.95661,0.82248,0.58027,0.52975,0.91434,0.0007922,0.0007922,0.0007922
63,221.477,0.47101,0.38193,0.85862,0.84389,0.98393,0.97297,0.83808,0.5643,0.51059,0.89805,0.0007724,0.0007724,0.0007724
64,225.692,0.44789,0.36073,0.87196,0.91612,0.9934,0.98,0.82938,0.5807,0.46789,0.89434,0.0007526,0.0007526,0.0007526
65,228.762,0.42436,0.35238,0.85426,0.9162,0.99439,0.98,0.85122,0.51646,0.50468,0.88829,0.0007328,0.0007328,0.0007328
66,231.725,0.45551,0.37909,0.89957,0.91624,0.99482,0.98,0.86065,0.54877,0.50416,0.89749,0.000713,0.000713,0.000713
67,234.806,0.46731,0.3711,0.88467,0.9164,0.99675,0.95,0.81401,0.57477,0.47432,0.92067,0.0006932,0.0006932,0.0006932
68,239.077,0.47128,0.38687,0.8953,0.91665,0.99976,0.9425,0.81917,0.5082,0.44424,0.90303,0.0006734,0.0006734,0.0006734
69,242.314,0.43622,0.36562,0.87486,0.91388,1,0.9425,0.83514,0.51965,0.44041,0.91781,0.0006536,0.0006536,0.0006536
70,245.523,0.45052,0.36378,0.88598,0.91418,1,0.9425,0.82852,0.52029,0.44405,0.93691,0.0006338,0.0006338,0.0006338
71,248.709,0.4204,0.33908,0.85287,0.91447,1,0.9425,0.8202,0.56198,0.44503,0.91877,0.000614,0.000614,0.000614
72,252.566,0.47011,0.35923,0.89958,0.91662,0.99942,0.9425,0.78596,0.63059,0.45622,0.94358,0.0005942,0.0005942,0.0005942
73,256.33,0.43261,0.35798,0.86252,0.91637,0.99643,0.935,0.76005,0.63782,0.46496,0.92244,0.0005744,0.0005744,0.0005744
74,259.419,0.48412,0.36378,0.91044,0.9147,1,0.9425,0.78906,0.61629,0.44409,0.91738,0.0005546,0.0005546,0.0005546
75,262.553,0.45325,0.35799,0.88912,0.91322,1,0.9275,0.77227,0.61495,0.44436,0.92861,0.0005348,0.0005348,0.0005348
76,265.839,0.43772,0.33889,0.88473,0.91577,1,0.935,0.79616,0.52565,0.44702,0.89466,0.000515,0.000515,0.000515
77,270.103,0.39241,0.34082,0.84952,0.91624,1,0.9425,0.82384,0.53169,0.43774,0.89279,0.0004952,0.0004952,0.0004952
78,273.148,0.41431,0.32376,0.87112,0.91308,1,0.9425,0.82039,0.6436,0.4459,0.94489,0.0004754,0.0004754,0.0004754
79,276.148,0.39686,0.33038,0.85469,0.91307,1,0.9425,0.82707,0.60289,0.44922,0.95872,0.0004556,0.0004556,0.0004556
80,279.072,0.41389,0.33312,0.88635,0.91576,1,0.9425,0.83283,0.59143,0.43446,0.94633,0.0004358,0.0004358,0.0004358
81,283.233,0.40656,0.32322,0.86577,0.84049,1,0.94024,0.81312,0.59651,0.44504,0.95123,0.000416,0.000416,0.000416
82,286.943,0.42079,0.32259,0.87029,0.84194,1,0.94024,0.82887,0.61675,0.42553,0.96457,0.0003962,0.0003962,0.0003962
83,289.993,0.39737,0.31587,0.85342,0.84015,1,0.94024,0.83154,0.57518,0.44864,0.94957,0.0003764,0.0003764,0.0003764
84,293.028,0.43776,0.34522,0.88997,0.91539,0.98466,0.95,0.82731,0.5982,0.43623,0.93261,0.0003566,0.0003566,0.0003566
85,296.39,0.41843,0.31968,0.86436,0.916,0.99198,0.95,0.81402,0.6204,0.4138,0.94702,0.0003368,0.0003368,0.0003368
86,300.36,0.3915,0.31497,0.86473,0.91637,0.99645,0.95,0.83974,0.54159,0.40716,0.93004,0.000317,0.000317,0.000317
87,303.323,0.40489,0.3102,0.87142,0.91612,0.99341,0.95,0.84041,0.51112,0.42448,0.91512,0.0002972,0.0002972,0.0002972
88,306.352,0.36601,0.30044,0.87082,0.9164,0.99677,0.95,0.83969,0.50778,0.428,0.89751,0.0002774,0.0002774,0.0002774
89,309.193,0.3771,0.31013,0.8762,0.91631,1,0.95,0.84855,0.47557,0.41598,0.88589,0.0002576,0.0002576,0.0002576
90,313.017,0.38659,0.30735,0.88126,0.91354,1,0.95,0.83149,0.485,0.39873,0.87413,0.0002378,0.0002378,0.0002378
91,318.882,0.31337,0.28651,0.80481,0.91431,1,0.9575,0.85023,0.50057,0.40584,0.87169,0.000218,0.000218,0.000218
92,321.911,0.3127,0.2801,0.81608,0.91665,0.99976,0.9575,0.8459,0.52502,0.41083,0.87746,0.0001982,0.0001982,0.0001982
93,324.843,0.29697,0.27431,0.81219,0.91652,0.99826,0.95,0.83933,0.52859,0.42519,0.88113,0.0001784,0.0001784,0.0001784
94,329.307,0.28704,0.26028,0.81255,0.91631,0.99567,0.95,0.82925,0.53127,0.41891,0.88053,0.0001586,0.0001586,0.0001586
95,332.314,0.30094,0.26449,0.82182,0.91574,0.98885,0.95,0.83466,0.51288,0.43728,0.88926,0.0001388,0.0001388,0.0001388
96,335.163,0.27195,0.25483,0.81234,0.9156,0.98719,0.9425,0.83462,0.51563,0.43351,0.90101,0.000119,0.000119,0.000119
97,337.841,0.27378,0.27245,0.82434,0.91554,0.98648,0.9425,0.81867,0.51361,0.43762,0.90257,9.92e-05,9.92e-05,9.92e-05
98,341.344,0.27633,0.24753,0.81355,0.916,0.99196,0.9425,0.81885,0.51364,0.44387,0.90747,7.94e-05,7.94e-05,7.94e-05
99,345.419,0.2675,0.24841,0.80846,0.91621,0.99454,0.9425,0.83683,0.50673,0.44899,0.91008,5.96e-05,5.96e-05,5.96e-05
100,348.378,0.26065,0.2367,0.79047,0.91631,0.99568,0.9425,0.82745,0.49258,0.44592,0.9101,3.98e-05,3.98e-05,3.98e-05
